time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1962-03-26T16:32:45.560Z,-40.532,-73.986,30.9,6.17,mw,,,,,iscgem,iscgem874426,2022-04-26T16:08:51.384Z,"72 km W of Osorno, Chile",earthquake,,4.8,0.2,,reviewed,iscgem,iscgem
1962-07-17T05:32:10.120Z,-42.939,-75.748,20,5.79,mw,,,,,iscgem,iscgem875056,2022-04-26T16:10:32.765Z,"165 km WSW of Chonchi, Chile",earthquake,,7,0.2,,reviewed,iscgem,iscgem
1962-11-04T22:53:34.790Z,-43.271,-75.762,20,6.07,mw,,,,,iscgem,iscgem875619,2022-04-26T16:13:22.044Z,"175 km W of Quellón, Chile",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1962-11-11T22:14:18.950Z,-43.198,-75.773,20,6.1,mw,,,,,iscgem,iscgem875655,2022-04-26T16:13:56.673Z,"175 km WSW of Chonchi, Chile",earthquake,,5,0.3,,reviewed,iscgem,iscgem
1963-01-11T12:12:16.150Z,-45.001,-75.91,15,5.96,mw,,,,,iscgem,iscgem871683,2022-04-27T00:18:15.164Z,"248 km WNW of Puerto Chacabuco, Chile",earthquake,,5.3,0.2,,reviewed,iscgem,iscgem
1963-02-05T20:39:20.620Z,-38.437,-73.443,25,6.4,mw,,,,,iscgem,iscgem871787,2022-04-27T00:18:39.975Z,"39 km NW of Carahue, Chile",earthquake,,6.5,0.3,,reviewed,iscgem,iscgem
1963-02-06T01:21:29.200Z,-38.459,-73.465,25,6.05,mw,,,,,iscgem,iscgem871788,2022-04-27T00:18:41.397Z,"Near the coast of Araucania, Chile",earthquake,,6.5,0.33,,reviewed,iscgem,iscgem
1963-03-10T10:51:48.400Z,-30.038,-71.612,50,5.6,mw,,,,,iscgem,iscgem871954,2022-04-27T00:19:01.337Z,"27 km WSW of Coquimbo, Chile",earthquake,,5,0.4,,reviewed,iscgem,iscgem
1963-05-19T01:03:03.720Z,-46.483,-75.252,15,6.4,mw,,,,,iscgem,iscgem872336,2022-04-27T00:21:31.408Z,"219 km WSW of Puerto Chacabuco, Chile",earthquake,,3.5,0.4,,reviewed,iscgem,iscgem
1964-06-07T20:10:21.600Z,-30.432,-68.105,45,5.22,mw,,,,,iscgem,iscgem866634,2022-04-27T00:03:28.321Z,"65 km WNW of San Agustín de Valle Fértil, Argentina",earthquake,,5.1,0.37,,reviewed,iscgem,iscgem
1964-08-05T22:23:12.290Z,-41.121,-74.871,15,6.4,mw,,,,,iscgem,iscgem864939,2022-04-26T23:59:06.185Z,"121 km NW of Ancud, Chile",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1964-11-18T05:01:45.260Z,-31.266,-67.705,22.5,5.72,mw,,,,,iscgem,iscgem862815,2022-04-26T23:53:47.109Z,"69 km NE of Caucete, Argentina",earthquake,,29.7,0.3,,reviewed,iscgem,iscgem
1964-12-19T12:53:24.330Z,-37.78,-74.177,15,5.17,mw,,,,,iscgem,iscgem862052,2022-04-26T23:51:30.860Z,"49 km WSW of Lebu, Chile",earthquake,,7.5,0.2,,reviewed,iscgem,iscgem
1965-01-18T00:03:10.660Z,-37.936,-73.189,26.1,5.5,mw,,,,,iscgem,iscgem861157,2022-04-26T23:49:51.692Z,"23 km SE of Cañete, Chile",earthquake,,4.7,0.34,,reviewed,iscgem,iscgem
1965-02-15T12:53:58.720Z,-42.112,-72.339,15,5.19,mw,,,,,iscgem,iscgem860210,2022-04-26T23:47:18.464Z,"61 km W of Lago Puelo, Argentina",earthquake,,5.2,0.2,,reviewed,iscgem,iscgem
1965-03-22T22:56:27.940Z,-31.974,-71.573,48.8,6.2,mw,,,,,iscgem,iscgem858793,2022-04-26T23:43:19.752Z,"53 km SW of Illapel, Chile",earthquake,,5,0.3,,reviewed,iscgem,iscgem
1965-06-02T02:05:32.590Z,-38.643,-73.395,15,5.24,mw,,,,,iscgem,iscgem855789,2022-04-26T23:37:33.194Z,"21 km WNW of Carahue, Chile",earthquake,,6.5,0.2,,reviewed,iscgem,iscgem
1965-08-18T10:01:48.120Z,-38.038,-73.562,20,5.14,mw,,,,,iscgem,iscgem854739,2022-04-26T23:36:15.902Z,"30 km SSW of Cañete, Chile",earthquake,,4.2,0.2,,reviewed,iscgem,iscgem
1965-10-03T16:14:57.430Z,-42.969,-75.225,22.2,5.9,mw,,,,,iscgem,iscgem852863,2022-04-26T23:32:02.359Z,"124 km WSW of Chonchi, Chile",earthquake,,3.7,0.3,,reviewed,iscgem,iscgem
1965-10-05T03:39:02.410Z,-35.93,-72.442,22.5,5.28,mw,,,,,iscgem,iscgem852901,2022-04-26T23:32:26.878Z,"11 km WNW of Cauquenes, Chile",earthquake,,4.6,0.37,,reviewed,iscgem,iscgem
1965-11-28T03:56:46.510Z,-45.847,-72.958,25,6.2,mw,,,,,iscgem,iscgem852739,2022-04-26T23:31:44.220Z,"43 km SSW of Puerto Chacabuco, Chile",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1966-01-15T19:28:54.480Z,-33.597,-70.092,10,5.22,mw,,,,,iscgem,iscgem850891,2022-04-26T23:28:01.820Z,"44 km E of Puente Alto, Chile",earthquake,,25.2,0.35,,reviewed,iscgem,iscgem
1966-01-15T19:29:31.910Z,-33.496,-69.908,10,5.35,mw,,,,,iscgem,iscgem850892,2022-04-26T23:28:02.976Z,"62 km E of Villa Presidente Frei, Ñuñoa, Santiago, Chile, Chile",earthquake,,25.2,0.2,,reviewed,iscgem,iscgem
1966-02-03T02:05:57.480Z,-33.479,-70.04,15,5.17,mw,,,,,iscgem,iscgem849817,2022-04-26T23:25:38.713Z,"50 km E of Villa Presidente Frei, Ñuñoa, Santiago, Chile, Chile",earthquake,,25.2,0.2,,reviewed,iscgem,iscgem
1966-04-12T23:37:42.810Z,-38.231,-72.695,35,6.3,mw,,,,,iscgem,iscgem848349,2022-04-26T23:21:33.667Z,"2 km NW of Traiguén, Chile",earthquake,,30.4,0.2,,reviewed,iscgem,iscgem
1966-04-13T03:35:16.930Z,-38.206,-72.849,35,5.9,mw,,,,,iscgem,iscgem848355,2022-04-26T23:21:39.140Z,"16 km WNW of Traiguén, Chile",earthquake,,4.5,0.2,,reviewed,iscgem,iscgem
1966-04-22T03:06:35.030Z,-37.656,-73.428,21.4,5.9,mw,,,,,iscgem,iscgem848610,2022-04-26T23:22:27.674Z,"16 km N of Cañete, Chile",earthquake,,3.6,0.3,,reviewed,iscgem,iscgem
1966-05-17T16:58:16.990Z,-44.195,-75.478,19.5,5.61,mw,,,,,iscgem,iscgem847531,2022-04-26T23:18:31.119Z,"191 km SW of Quellón, Chile",earthquake,,3.8,0.25,,reviewed,iscgem,iscgem
1966-07-20T19:58:46.360Z,-38.266,-72.903,10,5.21,mw,,,,,iscgem,iscgem845672,2022-04-26T23:14:42.785Z,"20 km W of Traiguén, Chile",earthquake,,9.4,0.27,,reviewed,iscgem,iscgem
1966-08-31T19:39:09.550Z,-37.64,-73.166,25.1,5.19,mw,,,,,iscgem,iscgem845115,2022-04-26T23:14:14.377Z,"23 km SE of Curanilahue, Chile",earthquake,,19.3,0.2,,reviewed,iscgem,iscgem
1967-03-13T16:06:53.870Z,-40.17,-74.722,20,5.7,mw,,,,,iscgem,iscgem837800,2022-04-26T22:57:10.402Z,"114 km WSW of Corral, Chile",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1967-04-12T21:22:13.270Z,-35.62,-73.234,30,5.51,mw,,,,,iscgem,iscgem836654,2022-04-26T22:55:55.085Z,"81 km WSW of Constitución, Chile",earthquake,,6,0.21,,reviewed,iscgem,iscgem
1967-04-25T10:36:14.330Z,-32.812,-69.159,25.7,5.42,mw,,,,,iscgem,iscgem837096,2022-04-26T22:56:12.298Z,"Mendoza, Argentina",earthquake,,4.9,0.2,,reviewed,iscgem,iscgem
1967-06-10T05:26:44.830Z,-41.394,-73.809,31.9,5.71,mw,,,,,iscgem,iscgem834296,2022-04-26T22:51:45.484Z,"52 km N of Ancud, Chile",earthquake,,4.5,0.2,,reviewed,iscgem,iscgem
1967-07-04T14:16:52.190Z,-38.145,-73.597,24.2,5.53,mw,,,,,iscgem,iscgem832975,2022-04-26T22:49:24.342Z,"42 km SSW of Cañete, Chile",earthquake,,4,0.25,,reviewed,iscgem,iscgem
1967-09-26T16:11:24.990Z,-30.086,-71.446,50,6.2,mw,,,,,iscgem,iscgem831680,2022-04-26T22:48:05.211Z,"17 km SW of Coquimbo, Chile",earthquake,,4.8,0.3,,reviewed,iscgem,iscgem
1967-10-27T00:34:45.730Z,-32.253,-69.442,20,5.25,mw,,,,,iscgem,iscgem830689,2022-04-26T22:46:58.148Z,"91 km NW of Mendoza, Argentina",earthquake,,13.5,0.21,,reviewed,iscgem,iscgem
1968-01-19T14:39:39.230Z,-42.559,-75.278,17.5,5.67,mw,,,,,iscgem,iscgem827437,2022-04-26T22:39:59.813Z,"123 km W of Chonchi, Chile",earthquake,,3.7,0.33,,reviewed,iscgem,iscgem
1968-04-30T23:51:14.910Z,-38.334,-71.242,10,5.38,mw,,,,,iscgem,iscgem824491,2022-04-26T22:35:39.228Z,"62 km WSW of Loncopué, Argentina",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1968-05-13T02:59:27.680Z,-40.197,-72.987,38.1,5.18,mw,,,,,iscgem,iscgem821853,2022-04-26T22:32:03.550Z,"13 km NE of La Unión, Chile",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1968-06-19T19:58:03.280Z,-44.054,-75.583,20,5.78,mw,,,,,iscgem,iscgem820811,2022-04-26T22:30:57.005Z,"189 km WSW of Quellón, Chile",earthquake,,3.8,0.3,,reviewed,iscgem,iscgem
1968-07-10T06:36:13.540Z,-30.687,-71.467,43.6,5.18,mw,,,,,iscgem,iscgem818876,2022-04-26T22:26:39.735Z,"27 km WSW of Ovalle, Chile",earthquake,,5.3,0.2,,reviewed,iscgem,iscgem
1968-09-11T18:26:36.980Z,-43.037,-75.175,17.9,5.9,mw,,,,,iscgem,iscgem816954,2022-04-26T22:21:15.367Z,"123 km WSW of Chonchi, Chile",earthquake,,3.8,0.3,,reviewed,iscgem,iscgem
1968-10-24T17:34:33.720Z,-30.41,-68.449,45,5.37,mw,,,,,iscgem,iscgem816261,2022-04-26T22:19:15.815Z,"34 km ESE of San José de Jáchal, Argentina",earthquake,,4.9,0.38,,reviewed,iscgem,iscgem
1969-04-26T05:58:53.420Z,-30.663,-71.569,35,6,mw,,,,,iscgem,iscgem810191,2022-04-26T22:09:48.859Z,"36 km W of Ovalle, Chile",earthquake,,19,0.3,,reviewed,iscgem,iscgem
1969-04-26T06:02:52.240Z,-30.576,-71.249,35,6.2,mw,,,,,iscgem,iscgem810192,2022-04-26T22:09:50.060Z,"5 km WNW of Ovalle, Chile",earthquake,,18.2,0.2,,reviewed,iscgem,iscgem
1969-05-05T13:52:40.400Z,-30.67,-71.675,30.5,5.53,mw,,,,,iscgem,iscgem808632,2022-04-26T22:05:48.768Z,"46 km W of Ovalle, Chile",earthquake,,4.5,0.23,,reviewed,iscgem,iscgem
1969-08-19T15:40:41.620Z,-41.891,-71.313,15,5.21,mw,,,,,iscgem,iscgem806072,2022-04-26T22:02:14.424Z,"19 km ENE of El Bolsón, Argentina",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1969-08-25T02:38:08.970Z,-39.215,-72,15,5.13,mw,,,,,iscgem,iscgem806330,2022-04-26T22:02:43.585Z,"8 km NNW of Pucón, Chile",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1969-09-16T02:06:03.010Z,-36.698,-72.54,50,5.12,mw,,,,,iscgem,iscgem804543,2022-04-26T21:57:04.255Z,"22 km WNW of Bulnes, Chile",earthquake,,5,0.32,,reviewed,iscgem,iscgem
1969-10-29T16:24:20.920Z,-38.043,-73.293,25.8,5.19,mw,,,,,iscgem,iscgem803903,2022-04-26T21:55:26.589Z,"28 km SSE of Cañete, Chile",earthquake,,4.2,0.21,,reviewed,iscgem,iscgem
1970-05-17T09:12:41.820Z,-33.695,-68.353,20,5.45,mw,,,,,iscgem,iscgem795725,2022-04-26T21:40:30.897Z,"68 km S of San Martín, Argentina",earthquake,,9.4,0.23,,reviewed,iscgem,iscgem
1970-06-14T00:00:11.120Z,-52.028,-74.07,15,6.96,mw,,,,,iscgem,iscgem794565,2022-04-26T21:37:52.975Z,"112 km WSW of Puerto Natales, Chile",earthquake,,25,0.25,,reviewed,iscgem,iscgem
1970-06-14T00:12:24.050Z,-52.166,-74.488,15,5.6,mw,,,,,iscgem,iscgem794566,2022-04-26T21:37:54.152Z,"144 km WSW of Puerto Natales, Chile",earthquake,,4.8,0.38,,reviewed,iscgem,iscgem
1970-09-05T08:59:42.620Z,-38.097,-73.416,20,5.19,mw,,,,,iscgem,iscgem791745,2022-04-26T21:31:23.833Z,"32 km S of Cañete, Chile",earthquake,,4.2,0.3,,reviewed,iscgem,iscgem
1970-09-14T15:36:50.700Z,-34.023,-72.294,20,5.7,mw,,,,,iscgem,iscgem792002,2022-04-26T21:31:35.520Z,"79 km SW of San Antonio, Chile",earthquake,,10.3,0.3,,reviewed,iscgem,iscgem
1970-09-19T06:37:29.440Z,-33.516,-71.908,25,5.7,mw,,,,,iscgem,iscgem792158,2022-04-26T21:31:38.956Z,"28 km W of Cartagena, Chile",earthquake,,9.2,0.3,,reviewed,iscgem,iscgem
1971-02-18T07:47:30.800Z,-36.775,-73.276,28.4,5.72,mw,,,,,iscgem,iscgem787485,2022-04-26T21:22:48.207Z,"15 km WSW of Talcahuano, Chile",earthquake,,3.8,0.5,,reviewed,iscgem,iscgem
1971-03-21T06:08:07.150Z,-30.57,-71.664,33.7,5.17,mw,,,,,iscgem,iscgem786502,2022-04-26T21:20:43.083Z,"44 km W of Ovalle, Chile",earthquake,,19,0.31,,reviewed,iscgem,iscgem
1971-04-09T04:45:47.390Z,-31.553,-67.487,20,5.33,mw,,,,,iscgem,iscgem785467,2022-04-26T21:18:24.795Z,"76 km E of Caucete, Argentina",earthquake,,29.7,0.2,,reviewed,iscgem,iscgem
1971-04-09T12:32:16.100Z,-33.332,-68.716,20,5.22,mw,,,,,iscgem,iscgem785477,2022-04-26T21:18:31.162Z,"36 km SW of San Martín, Argentina",earthquake,,9.4,0.24,,reviewed,iscgem,iscgem
1971-05-20T17:17:13.300Z,-35.212,-72.576,30,5.26,mw,,,,,iscgem,iscgem784769,2022-04-26T21:15:55.013Z,"20 km NW of Constitución, Chile",earthquake,,4,0.2,,reviewed,iscgem,iscgem
1971-07-09T20:19:48.680Z,-32.33,-71.621,30,5.49,mw,,,,,iscgem,iscgem782042,2022-04-26T21:09:55.817Z,"39 km WNW of La Ligua, Chile",earthquake,,11.1,0.31,,reviewed,iscgem,iscgem
1971-07-11T09:51:39.390Z,-32.287,-71.778,35,6.37,mw,,,,,iscgem,iscgem782093,2022-04-26T21:10:12.921Z,"54 km WNW of La Ligua, Chile",earthquake,,10.1,0.36,,reviewed,iscgem,iscgem
